nome;tipo;incorporadora;preco_a_partir_de;mes_tabela;spec;url;fonte
Uni Residencial;apartamento;Masotti;279990;2026-09;2 dorm c/ suíte · sacada · vaga coberta;https://lancamentos.imoveisvivamerica.com.br/uni-residencial-indaiatuba/;tabela da incorporadora, setembro/2026
Gran Vic Tangará;apartamento;VIC Engenharia;330000;2026-09;2 dorm · 47,22 m² · 78 unidades (set/2026) · entrega nov/2028;https://lancamentos.imoveisvivamerica.com.br/gran-vic-tangara-indaiatuba/;tabela da incorporadora, setembro/2026
Gran Vic Colibri;apartamento;VIC Engenharia;334479;2026-09;2 dorm c/ suíte · 51,42 m² · 84 unidades (set/2026) · entrega dez/2028;https://lancamentos.imoveisvivamerica.com.br/gran-vic-colibri-indaiatuba/;tabela da incorporadora, setembro/2026
Itamaracá Residencial;apartamento;Zarin;339990;2026-07;48 a 54 m² · 1 vaga · tabela de julho/2026;https://lancamentos.imoveisvivamerica.com.br/itamaraca-indaiatuba/;tabela da incorporadora, julho/2026
Gran Vic Canário;apartamento;VIC Engenharia;352135;2026-09;2 dorm · 47,22 m² · últimas 3 unidades (set/2026) · entrega mai/2028;https://lancamentos.imoveisvivamerica.com.br/gran-vic-canario-indaiatuba/;tabela da incorporadora, setembro/2026
Vívere Residencial;apartamento;Masotti;352552;2026-09;2 dorm · 46 a 50 m² · pronto para morar · últimas 5 unidades;https://lancamentos.imoveisvivamerica.com.br/vivere-indaiatuba/;tabela da incorporadora, setembro/2026
Gran Vic Andorinha;apartamento;VIC Engenharia;372119;2026-09;2 dorm c/ suíte · 51,42 m² · últimas 2 unidades (set/2026) · entrega fev/2028;https://lancamentos.imoveisvivamerica.com.br/gran-vic-andorinha-indaiatuba/;tabela da incorporadora, setembro/2026
Spazio Italia;apartamento;Zarin;448820;2026-09;59,5 a 63,58 m² · suíte · 1–2 vagas · 25+ itens de lazer;https://lancamentos.imoveisvivamerica.com.br/spazio-italia-indaiatuba/;tabela da incorporadora, setembro/2026
Aurora — Park Meraki;apartamento;Masotti;758850;2026-09;101 a 152 m² · 4 torres · 32 áreas de lazer;https://lancamentos.imoveisvivamerica.com.br/aurora-indaiatuba/;tabela da incorporadora, setembro/2026
Storia Congesa;apartamento;Congesa;981000;2026-09;70 a 114 m² · 2-3 vagas + hobby box · entrega dez/2026;https://lancamentos.imoveisvivamerica.com.br/storia-congesa-indaiatuba/;tabela da incorporadora, setembro/2026
Areté Home;apartamento;PERPLAN;991005;2026-09;93 a 117 m² · 2 e 3 suítes · torre única · 19 andares;https://lancamentos.imoveisvivamerica.com.br/arete-home-indaiatuba/;tabela da incorporadora, setembro/2026
Hélade — Park Meraki;apartamento;PERPLAN;1391504;2026-09;3 suítes · 120,18 m² · 2 ou 3 vagas · entrega mar/2027;https://lancamentos.imoveisvivamerica.com.br/helade-indaiatuba/;tabela da incorporadora, setembro/2026
Viva Parque Aura;apartamento;Pinheiro · RDZ · iBen;300854;2026-08;47 a 85 m² · Torre 3 (tabela ago/2026) · 7.000 m² parque · +30 itens lazer;https://lancamentos.imoveisvivamerica.com.br/viva-parque-aura-indaiatuba/;tabela da incorporadora, agosto/2026
Viva Parque Sense;apartamento;Pinheiro · RDZ · iBen;404886;2026-08;3 dorm c/ suíte · 59,93 m² · garden 95,99 m² · 8 torres · tabela ago/2026;https://lancamentos.imoveisvivamerica.com.br/viva-parque-sense-indaiatuba/;tabela da incorporadora, agosto/2026
Manai Bosque;apartamento;Masotti;505941;2026-09;65 a 91 m² · Torre I: 53 unidades (set/2026) · piscina raia 25m · 36 áreas lazer;https://lancamentos.imoveisvivamerica.com.br/manai-bosque-indaiatuba/;tabela da incorporadora, setembro/2026
Congesa Seasons;apartamento;Congesa;;2026-09;3 suítes · Penthouse · Maison c/ jardim;https://lancamentos.imoveisvivamerica.com.br/seasons-indaiatuba/;sob consulta — tabela não liberada pela incorporadora, setembro/2026
Residencial Monte Carmelo;lote;Dominium;145000;2026-09;Loteamento aberto · entrada de R$ 16.000 · 96x;https://lancamentos.imoveisvivamerica.com.br/monte-carmelo-indaiatuba/;tabela da incorporadora, setembro/2026
Parque Zarah;lote;Zarin;172500;2026-09;3 fases · residencial a partir de R$ 212 mil · Safira dez/2026 · Rubi e Pérola dez/2028;https://lancamentos.imoveisvivamerica.com.br/parque-zarah-indaiatuba/;tabela da incorporadora, setembro/2026
Jardim Di Italia;lote;Dominium;210000;2026-09;Loteamento aberto · infraestrutura concluída · entrada R$ 44.000 · 60x;https://lancamentos.imoveisvivamerica.com.br/di-italia-indaiatuba/;tabela da incorporadora, setembro/2026
Terras de San Marino;lote;Armigh · Best Business;247500;2026-09;546 lotes · 19 disponíveis (espelho 02/09/2026) · 16.164 m² de lazer resort;https://lancamentos.imoveisvivamerica.com.br/terras-de-san-marino-indaiatuba/;tabela da incorporadora, setembro/2026
Residencial Vila Fahl;lote;Vila Fahl · iBen;273750;2026-09;Residencial e comercial · obra 71,91% (jul/2026) · até 96x · 15 itens de lazer;https://lancamentos.imoveisvivamerica.com.br/vila-fahl-indaiatuba/;tabela da incorporadora, setembro/2026
Alpnach Residence;lote;Dominium;510000;2026-09;322 lotes · 28 disponíveis (04/09/2026) · piscina coberta · mini mercado 24h;https://lancamentos.imoveisvivamerica.com.br/alpnach-indaiatuba/;tabela da incorporadora, setembro/2026
Reserva Botânica;lote;Zarin;532563;2026-07;3 lotes de 340 a 457 m² · portaria 24h · 3 quadras;https://lancamentos.imoveisvivamerica.com.br/reserva-botanica-indaiatuba/;tabela da incorporadora, julho/2026
Residencial Ravello;lote;Dominium;714000;2026-09;710 lotes · 27 itens: SPA, Wine Bar, Fire Pit;https://lancamentos.imoveisvivamerica.com.br/residencial-ravello-indaiatuba/;tabela da incorporadora, setembro/2026
